		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    2    4    4    1    4    1    2    2  5.102675 0.746548 SUCCESS  76
100101000    2    1    4    3    3    1    1    4  5.039787 0.753315 SUCCESS  77
100110000    2    1    4    2    1    2    1    2  3.940900 0.862416 SUCCESS  78
100111000    1    1    3    0    2    1    4    1  7.204461 0.514742 SUCCESS  79
101000000    3    2    5    2    2    2    2    6  8.743564 0.364388 SUCCESS  80
101000100    3    1    5    0    2    2    4    4  8.554899 0.381222 SUCCESS  81
101001000    4    4    5    3    1    2    1    3  6.986007 0.538143 SUCCESS  82
101001100    2    1    1    1    1    0    1    4  7.926019 0.440730 SUCCESS  83
101010000    4    1    1    1    3    1    5    4  8.492011 0.386941 SUCCESS  84
101010100    3    3    1    1    4    3    3    6  8.743564 0.364388 SUCCESS  85
101011000    2    1    1    1    3    5    3    0  8.240459 0.410341 SUCCESS  86
101011100    4    1    1    5    1    1    1    5 10.971126 0.203341 SUCCESS  87
101100000    1    5    1    1    2    1    1    1  8.051795 0.428427 SUCCESS  88
101100100    0    3    5    2    5    2    3    2  8.617787 0.375557 SUCCESS  89
101101000    3    2    2    3    3    3    2    2  0.866004 0.998961 SUCCESS  90
101101100    0    3    1    3    1    2    5    1  8.240459 0.410341 SUCCESS  91
101110000    2    1    0    8    3    2    2    1 17.749799 0.023183 SUCCESS  92
101110100    3    3    2    2    1    2    1    2  2.309120 0.970039 SUCCESS  93
101111000    3    2    3    1    3    1    0    2  4.788234 0.779952 SUCCESS  94
101111100    0    3    5    3    3    5    3    0 11.159790 0.192809 SUCCESS  95
110000000    0    2    2    3    2    0    2    0  7.926019 0.440730 SUCCESS  96
110000010    3    4    0    4    0    2    2    2  7.456013 0.488323 SUCCESS  97
110000100    0    1    2    2    1    3    2    1  5.446904 0.708915 SUCCESS  98
110001000    2    3    2    1    3    4    0    1  5.698457 0.680967 SUCCESS  99
110001010    3    2    3    2    3    2    3    0  3.282230 0.915418 SUCCESS 100
110010000    1    5    4    1    4    4    3    3  7.959118 0.437474 SUCCESS 101
110010010    1    1    5    2    2    3    4    2  5.950009 0.652832 SUCCESS 102
110010100    2    4    5    2    6    0    2    3 12.132900 0.145372 SUCCESS 103
110011000    3    3    6    3    0    1    1    2 10.123792 0.256445 SUCCESS 104
110011010    3    1    4    2    4    2    2    0  5.824233 0.666913 SUCCESS 105
110100000    3    5    5    2    3    4    2    4  8.147782 0.419169 SUCCESS 106
110100010    4    0    4    1    7    2    2    1 15.333573 0.052975 SUCCESS 107
110100100    3    1    4    4    3    3    2    2  3.533783 0.896552 SUCCESS 108
110101000    4    2    1    1    2    4    5    2  6.860231 0.551785 SUCCESS 109
110101010    4    1    0    3    3    3    5    4  8.680676 0.369946 SUCCESS 110
110101100    0    2    1    1    4    2    1    3  6.420015 0.600293 SUCCESS 111
110110000    2    5    1    1    0    4    1    0 11.504019 0.174743 SUCCESS 112
110110010    0    4    2    1    7    1    5    4 18.064239 0.020750 SUCCESS 113
110110100    3    0    1    3    0    3    1    2  7.204461 0.514742 SUCCESS 114
110111000    1    2    0    6    2    7    1    1 19.507355 0.012370 SUCCESS 115
110111010    3    2    3    4    4    4    0    4  7.048895 0.531367 SUCCESS 116
110111100    3    2    2    0    3    2    1    1  4.725346 0.786488 SUCCESS 117
111000000    4    1    2    4    3    2    2    0  5.824233 0.666913 SUCCESS 118
111000010    1    1    1    3    2    2    3    3  3.156454 0.924159 SUCCESS 119
111000100    1    1    5    2    2    6    0    3 12.728682 0.121532 SUCCESS 120
111000110    2    5    1    1    4    4    1    4  8.617787 0.375557 SUCCESS 121
111001000    2    2    6    3    1    3    1    1  8.429123 0.392713 SUCCESS 122
111001010    3    2    6    2    2    1    4    4  8.743564 0.364388 SUCCESS 123
111001100    5    3    3    4    1    1    0    2  8.429123 0.392713 SUCCESS 124
111010000    4    4    2    2    2    1    1    1  4.914011 0.766726 SUCCESS 125
